match_id,player_id,player,team,period,minute,second,x,y,distance,inside_box,play_pattern,outcome,is_goal,shot_type,body_part,technique,first_time,under_pressure,xg
3913089,4961.0,Samantha May Kerr,Chelsea FCW,2,61,49,110.4,43.9,10.4,Inside box,Regular Play,Goal,1,Open Play,Right Foot,Half Volley,True,False,0.19978571
3913089,31531.0,Lauren James,Chelsea FCW,2,70,25,102.1,44.8,18.5,Inside box,Regular Play,Blocked,0,Open Play,Right Foot,Normal,False,True,0.067401074
3913089,46738.0,Emma Bissell,Everton LFC,2,86,6,95.7,38.5,24.3,Outside box,Regular Play,Saved,0,Open Play,Left Foot,Normal,False,False,0.040317174
3913089,81580.0,Agnes Beever-Jones,Chelsea FCW,2,88,37,112.4,55.1,16.9,Inside box,From Throw In,Off T,0,Open Play,Right Foot,Normal,True,False,0.038768426
3913089,81580.0,Agnes Beever-Jones,Chelsea FCW,2,89,56,106.9,50.4,16.7,Inside box,From Throw In,Goal,1,Open Play,Left Foot,Normal,False,False,0.18104345
3912593,10650.0,Jill Roord,Manchester City WFC,1,3,57,102.1,26.1,22.7,Inside box,Regular Play,Off T,0,Open Play,Right Foot,Normal,False,True,0.02243894
3912593,15555.0,Lauren Hemp,Manchester City WFC,1,9,13,112.0,44.1,9.0,Inside box,Regular Play,Wayward,0,Open Play,Head,Normal,False,True,0.062772095
3912593,401930.0,Riko Ueki,West Ham United LFC,1,10,41,114.9,53.0,14.0,Inside box,From Throw In,Saved,0,Open Play,Right Foot,Half Volley,True,False,0.04348763
3912593,10650.0,Jill Roord,Manchester City WFC,1,14,41,97.8,43.2,22.4,Outside box,From Free Kick,Off T,0,Open Play,Right Foot,Lob,False,True,0.16821605
3912593,35693.0,Mary Boio Fowler,Manchester City WFC,1,20,9,109.3,34.3,12.1,Inside box,Regular Play,Off T,0,Open Play,Right Foot,Volley,True,True,0.11610049
3912593,10163.0,Leila Ouahabi El Ouahabi,Manchester City WFC,1,36,57,95.2,32.1,26.0,Outside box,From Throw In,Saved,0,Open Play,Left Foot,Half Volley,True,False,0.026785182
3912593,10650.0,Jill Roord,Manchester City WFC,1,40,36,100.1,40.3,19.9,Outside box,From Throw In,Blocked,0,Open Play,Right Foot,Normal,False,True,0.03823167
3912593,15555.0,Lauren Hemp,Manchester City WFC,1,40,56,105.3,34.9,15.6,Inside box,From Throw In,Off T,0,Open Play,Right Foot,Normal,False,True,0.08401459
3912593,15555.0,Lauren Hemp,Manchester City WFC,1,45,12,115.2,36.0,6.2,Inside box,Regular Play,Saved,0,Open Play,Head,Normal,False,True,0.3386023
3912593,401930.0,Riko Ueki,West Ham United LFC,2,45,12,106.0,29.1,17.7,Inside box,From Kick Off,Saved,0,Open Play,Left Foot,Normal,False,True,0.07787821
3912593,15555.0,Lauren Hemp,Manchester City WFC,2,47,11,100.3,50.2,22.2,Outside box,From Throw In,Goal,1,Open Play,Left Foot,Normal,False,True,0.055716347
3912593,15570.0,Chloe Kelly,Manchester City WFC,2,49,22,108.0,40.0,12.0,Inside box,Other,Saved,0,Penalty,Right Foot,Normal,False,False,0.7835
3912593,5078.0,Alanna Stephanie Kennedy,Manchester City WFC,2,49,53,114.1,40.4,5.9,Inside box,From Corner,Blocked,0,Open Play,Head,Normal,False,True,0.14416097
3912593,32210.0,Laia Aleixandri López,Manchester City WFC,2,50,35,111.7,34.7,9.8,Inside box,From Corner,Blocked,0,Open Play,Other,Normal,False,False,0.06130011
3912593,32210.0,Laia Aleixandri López,Manchester City WFC,2,50,36,111.8,36.0,9.1,Inside box,From Corner,Saved,0,Open Play,Right Foot,Volley,True,False,0.083563134
3912593,49938.0,Deyna Cristina Castellanos Naujenis,Manchester City WFC,2,51,12,92.5,31.8,28.7,Outside box,Regular Play,Off T,0,Open Play,Right Foot,Half Volley,False,False,0.016667368
3912593,25834.0,Viviane Asseyi,West Ham United LFC,2,53,3,100.3,34.6,20.4,Outside box,From Counter,Blocked,0,Open Play,Right Foot,Normal,False,True,0.060548976
3912593,10650.0,Jill Roord,Manchester City WFC,2,54,43,107.8,47.8,14.5,Inside box,Regular Play,Goal,1,Open Play,Left Foot,Normal,False,False,0.30525687
3912593,49938.0,Deyna Cristina Castellanos Naujenis,Manchester City WFC,2,56,9,103.0,29.8,19.8,Inside box,Regular Play,Saved,0,Open Play,Right Foot,Half Volley,False,False,0.041875295
3912593,49938.0,Deyna Cristina Castellanos Naujenis,Manchester City WFC,2,63,34,101.6,42.0,18.5,Outside box,From Throw In,Saved,0,Open Play,Right Foot,Half Volley,False,True,0.045415226
3912593,46635.0,Emma Harries,West Ham United LFC,2,74,8,109.9,40.3,10.1,Inside box,Regular Play,Off T,0,Open Play,Head,Normal,False,False,0.10740072
3912593,370018.0,Shannon Cooke,West Ham United LFC,2,83,21,81.6,23.9,41.6,Outside box,From Throw In,Off T,0,Open Play,Right Foot,Normal,False,False,0.0045214747
3912593,25834.0,Viviane Asseyi,West Ham United LFC,2,85,2,105.0,58.2,23.6,Inside box,From Goal Kick,Off T,0,Open Play,Right Foot,Half Volley,False,False,0.014711463
3912593,15555.0,Lauren Hemp,Manchester City WFC,2,87,23,89.3,37.7,30.8,Outside box,Regular Play,Off T,0,Open Play,Left Foot,Normal,False,False,0.03029152
3912593,10179.0,Lisa Evans,West Ham United LFC,2,89,15,96.8,32.9,24.3,Outside box,Regular Play,Blocked,0,Open Play,Right Foot,Half Volley,False,True,0.03034616
