match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
3913146,2024-03-03,16:00:00.000,3,7,available,unscheduled,2024-03-14T21:42:22.763480,,15,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,973,Bristol City WFC,female,,68,England,965,Brighton & Hove Albion WFC,female,,68,England,1,Regular Season,32,Ashton Gate,68,England,1007206.0,Adewunmi Soneye,68.0,England,Lauren Smith,Mikey Harris,1000983,Lauren Smith,,,249,Wales,1002375,Mikey Harris,,1984-09-23,68,England,1.1.0,2,2
3913141,2024-03-03,14:00:00.000,1,4,available,unscheduled,2026-04-07T09:43:57.736155,,15,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,2647,Aston Villa W,female,,68,England,966,Liverpool WFC,female,,68,England,1,Regular Season,1001075,Poundland Bescot Stadium,68,England,928.0,Lisa Benn,68.0,England,Carla Ward,Matt Beard,3978,Carla Ward,,1982-12-21,68,England,139,Matt Beard,,1978-01-09,68,England,1.1.0,2,2
3913152,2024-03-15,21:00:00.000,3,1,available,unscheduled,2024-03-16T09:32:32.878694,,16,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,971,Chelsea FCW,female,,68,England,968,Arsenal WFC,female,,68,England,1,Regular Season,10,Stamford Bridge,68,England,566.0,Rebecca Welch,68.0,England,Emma Hayes,Jonas Eidevall,152,Emma Hayes,,1976-10-18,68,England,1771,Jonas Eidevall,,1983-01-28,220,Sweden,1.1.0,2,2
3913130,2024-02-04,14:30:00.000,2,1,available,unscheduled,2024-02-05T01:26:53.280049,,13,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,972,West Ham United LFC,female,,68,England,968,Arsenal WFC,female,,68,England,1,Regular Season,116891,Chigwell Construction Stadium,68,England,1004975.0,Melissa Burgin,68.0,England,Rehanne Skinner,Jonas Eidevall,5389,Rehanne Skinner,,1979-11-13,68,England,1771,Jonas Eidevall,,1983-01-28,220,Sweden,1.1.0,2,2
3913135,2024-02-17,12:30:00.000,3,1,available,unscheduled,2026-04-11T12:58:56.089880,,14,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,968,Arsenal WFC,female,,68,England,1475,Manchester United W,female,,68,England,1,Regular Season,3,Emirates Stadium,68,England,914.0,Kirsty Dowle,68.0,England,Jonas Eidevall,Marc Skinner,1771,Jonas Eidevall,,1983-01-28,220,Sweden,128,Marc Skinner,,1983-03-23,68,England,1.1.0,2,2
3913138,2024-02-16,21:15:00.000,0,1,available,unscheduled,2024-06-12T23:01:35.873397,,14,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,971,Chelsea FCW,female,,68,England,746,Manchester City WFC,female,,68,England,1,Regular Season,132,Kingsmeadow,68,England,937.0,Abigail Byrne,68.0,England,Emma Hayes,Gareth Taylor,152,Emma Hayes,,1976-10-18,68,England,5115,Gareth Taylor,,1973-02-25,249,Wales,1.1.0,2,2
3913128,2024-01-28,14:30:00.000,0,1,available,unscheduled,2024-01-29T05:48:06.816586,,12,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,967,Everton LFC,female,,68,England,2652,Leicester City WFC,female,,68,England,1,Regular Season,4989,Walton Hall Park,68,England,833.0,Cheryl Foster,249.0,Wales,Brian Sørensen,Willie Kirk,1002151,Brian Sørensen,,1980-06-15,61,Denmark,639,Willie Kirk,,1978-06-07,201,Scotland,1.1.0,2,2
3913125,2024-01-28,18:30:00.000,0,2,available,unscheduled,2024-02-14T19:44:00.726071,,12,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,966,Liverpool WFC,female,,68,England,968,Arsenal WFC,female,,68,England,1,Regular Season,579,Prenton Park,68,England,566.0,Rebecca Welch,68.0,England,Matt Beard,Jonas Eidevall,139,Matt Beard,,1978-01-09,68,England,1771,Jonas Eidevall,,1983-01-28,220,Sweden,1.1.0,2,2
3913121,2024-01-21,12:30:00.000,3,1,available,unscheduled,2026-04-11T12:57:50.478657,,11,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,971,Chelsea FCW,female,,68,England,1475,Manchester United W,female,,68,England,1,Regular Season,10,Stamford Bridge,68,England,937.0,Abigail Byrne,68.0,England,Emma Hayes,Marc Skinner,152,Emma Hayes,,1976-10-18,68,England,128,Marc Skinner,,1983-03-23,68,England,1.1.0,2,2
3913122,2024-01-21,16:00:00.000,3,2,available,unscheduled,2024-02-01T21:23:27.134515,,11,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,965,Brighton & Hove Albion WFC,female,,68,England,973,Bristol City WFC,female,,68,England,1,Regular Season,4494,Broadfield Stadium,68,England,928.0,Lisa Benn,68.0,England,Melissa Phillips,Lauren Smith,1002160,Melissa Phillips,,,68,England,1000983,Lauren Smith,,,249,Wales,1.1.0,2,2
